City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Pangnirtung,CA,66.1451,-65.7125,28.69,97,100,5.59,light snow
203,Milton,US,34.1322,-84.3007,80.83,60,56,1.99,broken clouds
204,Boa Vista,BR,2.8197,-60.6733,84.18,51,40,6.91,scattered clouds
205,Bereda,ES,43.2686,-7.5406,51.58,95,99,2.93,overcast clouds
206,Barrow,US,71.2906,-156.7887,19.42,93,100,16.11,overcast clouds
207,Acapulco,MX,16.8634,-99.8901,85.42,49,86,8.9,overcast clouds
208,Port Lincoln,AU,-34.7333,135.8667,59.79,85,0,9.62,clear sky
209,Lompoc,US,34.6391,-120.4579,75.85,67,0,31.0,clear sky
210,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.22,55,14,1.5,few clouds
211,Chapais,CA,49.7834,-74.8492,46.87,87,70,5.48,broken clouds
212,Arlit,NE,18.7369,7.3853,85.44,11,1,10.09,clear sky
213,Derzhavinsk,KZ,51.1,66.3167,45.99,80,18,9.15,few clouds
214,Tazmalt,DZ,36.3868,4.3989,58.86,76,2,1.83,clear sky
215,Mitsamiouli,KM,-11.3847,43.2844,80.96,72,11,12.06,few clouds
216,Vao,NC,-22.6667,167.4833,75.78,87,42,20.51,scattered clouds
217,Wadi Maliz,TN,36.4681,8.5495,53.49,89,10,5.61,clear sky
218,Stephenville,US,32.2207,-98.2023,82.53,53,0,10.36,clear sky
219,Nanortalik,GL,60.1432,-45.2371,37.42,85,100,4.0,overcast clouds
220,Tuatapere,NZ,-46.1333,167.6833,56.14,83,12,7.45,few clouds
221,Yurla,RU,59.3259,54.3223,25.63,90,30,4.47,scattered clouds
222,Touros,BR,-5.1989,-35.4608,79.99,81,94,11.74,overcast clouds
223,Hambantota,LK,6.1241,81.1185,80.82,82,95,15.77,overcast clouds
224,Waldheim,DE,51.0667,13.0167,50.49,92,78,5.19,broken clouds
225,Mar Del Plata,AR,-38.0023,-57.5575,53.87,77,100,18.01,overcast clouds
226,Joshimath,IN,30.5667,79.5667,58.59,44,27,5.46,scattered clouds
227,Bima,ID,-8.4667,118.7167,78.44,92,48,2.93,scattered clouds
228,Cadereyta,MX,25.5833,-99.9833,90.59,34,74,21.23,broken clouds
229,Mocuba,MZ,-16.8392,36.9856,64.22,98,11,3.04,few clouds
230,Maragogi,BR,-9.0122,-35.2225,77.27,86,72,7.49,broken clouds
231,Chuy,UY,-33.6971,-53.4616,52.7,77,0,8.19,clear sky
232,Great Yarmouth,GB,52.6083,1.7305,53.85,82,100,5.61,overcast clouds
233,Srednekolymsk,RU,67.45,153.6833,32.49,100,100,3.09,overcast clouds
234,Tutoia,BR,-2.7619,-42.2744,77.95,89,89,6.82,light rain
235,Grand Gaube,MU,-20.0064,57.6608,74.37,81,4,7.56,clear sky
236,Pontes E Lacerda,BR,-15.2261,-59.3353,76.86,61,84,0.87,broken clouds
237,Cabcab,PH,13.6268,124.0515,80.67,75,91,4.23,overcast clouds
238,Bamora,IN,24.0552,78.0909,89.04,21,34,9.82,scattered clouds
239,Kampot,KH,10.6167,104.1833,78.85,87,100,3.8,overcast clouds
240,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,40,10.36,scattered clouds
241,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,1.14,few clouds
242,Sandnessjoen,NO,66.0217,12.6316,42.66,94,100,10.0,moderate rain
243,Chokurdakh,RU,70.6333,147.9167,26.6,92,68,11.21,broken clouds
244,Bilma,NE,18.6853,12.9164,92.21,11,49,7.92,scattered clouds
245,Kysyl-Syr,RU,63.8986,122.7617,19.69,82,100,17.22,overcast clouds
246,Berlevag,NO,70.8578,29.0864,21.2,71,89,7.94,overcast clouds
247,Oro Valley,US,32.3909,-110.9665,94.08,6,0,11.01,clear sky
248,Waddan,LY,29.1614,16.139,63.59,58,0,22.57,clear sky
249,Severo-Kurilsk,RU,50.6789,156.125,35.51,87,80,9.26,broken clouds
250,Vila Velha,BR,-20.3297,-40.2925,79.95,70,12,8.01,few clouds
251,Harnosand,SE,62.6323,17.9379,41.02,71,100,6.51,overcast clouds
252,Cherskiy,RU,68.75,161.3,26.94,84,16,11.77,few clouds
253,Fortuna,US,40.5982,-124.1573,62.92,72,0,16.11,clear sky
254,Sangar,RU,63.9242,127.4739,34.65,85,100,17.83,light snow
255,Itapora,BR,-22.0799,-54.7874,78.96,46,70,3.98,broken clouds
256,Puerto El Triunfo,SV,13.2833,-88.55,84.76,68,88,7.02,overcast clouds
257,Mende,FR,44.6667,3.5,36.9,88,87,3.85,overcast clouds
258,Aykhal,RU,66.0,111.5,15.55,84,17,9.75,few clouds
259,Pandan,PH,14.0453,124.1694,79.56,82,79,5.35,broken clouds
260,Baruun-Urt,MN,46.6806,113.2792,50.5,55,57,9.1,broken clouds
261,Chuguyevka,RU,44.1653,133.8633,37.6,98,100,3.15,overcast clouds
262,Nizwa,OM,22.9333,57.5333,79.38,25,0,5.61,clear sky
263,Marsa Matruh,EG,31.3525,27.2453,65.28,76,97,14.27,overcast clouds
264,Rockhampton,AU,-23.3833,150.5,73.29,68,92,8.05,overcast clouds
265,Miami,US,25.7743,-80.1937,80.02,67,7,4.0,clear sky
266,Sukabumi,ID,-6.9181,106.9267,70.29,94,95,1.1,overcast clouds
267,Ust-Kut,RU,56.7938,105.7672,34.7,88,100,5.7,overcast clouds
268,Ryotsu,JP,38.0833,138.4333,51.24,65,32,3.8,scattered clouds
269,San Luis,AR,-33.295,-66.3356,55.38,34,7,15.7,clear sky
270,Chabahar,IR,25.2919,60.643,82.22,68,0,15.95,clear sky
271,Iskateley,RU,67.6803,53.1512,11.95,96,87,8.86,overcast clouds
272,Mecca,SA,21.4267,39.8261,81.95,67,1,2.04,clear sky
273,Taber,CA,49.8167,-112.1518,58.05,41,100,12.75,overcast clouds
274,Gornopravdinsk,RU,60.05,69.9,33.96,73,99,4.65,overcast clouds
275,Leningradskiy,RU,69.3833,178.4167,16.48,75,45,8.68,scattered clouds
276,La Orilla,MX,17.9833,-102.2333,84.18,45,51,10.04,broken clouds
277,La Ronge,CA,55.1001,-105.2842,34.32,79,100,5.46,overcast clouds
278,Camacupa,AO,-12.0167,17.4833,58.28,68,31,2.68,scattered clouds
279,Byron Bay,AU,-28.65,153.6167,67.95,65,29,10.94,scattered clouds
280,Zhaoyuan,CN,37.3592,120.3964,57.45,30,30,6.49,scattered clouds
281,Filingue,NE,14.3521,3.3168,89.8,11,6,8.9,clear sky
282,Sibu,MY,2.3,111.8167,74.64,97,98,2.1,overcast clouds
283,Gazanjyk,TM,39.2446,55.5154,63.99,74,100,11.88,light rain
284,Kepno,PL,51.2784,17.9891,48.4,71,47,1.68,scattered clouds
285,Smithers,CA,54.7804,-127.1743,50.2,61,100,5.7,overcast clouds
286,Road Town,VG,18.4167,-64.6167,78.89,94,20,8.05,few clouds
287,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.99,65,12,2.8,few clouds
288,Sept-Iles,CA,50.2001,-66.3821,42.06,76,48,1.99,scattered clouds
289,Guerrero Negro,MX,27.9769,-114.0611,67.8,59,0,17.74,clear sky
290,Isangel,VU,-19.55,169.2667,79.83,87,95,8.75,overcast clouds
291,Opuwo,NA,-18.0607,13.84,71.58,39,42,5.17,scattered clouds
292,Chachapoyas,PE,-6.2317,-77.869,55.8,94,67,1.19,light rain
293,Mount Gambier,AU,-37.8333,140.7667,57.11,100,100,14.97,overcast clouds
294,Bayan,CN,46.0833,127.4,44.69,63,36,5.97,scattered clouds
295,Horn,DE,51.8715,8.9451,46.29,82,100,3.31,overcast clouds
296,Bengkulu,ID,-3.8004,102.2655,75.76,88,95,4.61,overcast clouds
297,Castro,BR,-24.7911,-50.0119,62.91,88,55,2.37,broken clouds
298,Krasnoselkup,RU,65.7,82.4667,17.37,90,71,9.53,broken clouds
299,Kidal,ML,18.4411,1.4078,83.98,11,46,9.78,scattered clouds
300,Ilulissat,GL,69.2167,-51.1,24.82,54,42,1.14,scattered clouds
301,Tabou,CI,4.423,-7.3528,81.01,81,52,7.43,broken clouds
302,Broken Hill,AU,-31.95,141.4333,59.34,52,0,2.75,clear sky
303,Longyearbyen,SJ,78.2186,15.6401,12.04,67,75,3.44,light snow
304,La Peca,PE,-5.6111,-78.435,73.11,78,69,4.5,light rain
305,Beloha,MG,-25.1667,45.05,65.7,83,2,3.56,clear sky
306,Borgarnes,IS,64.5383,-21.9206,30.81,60,96,12.33,overcast clouds
307,Corpus Christi,US,27.8006,-97.3964,86.22,73,100,24.16,overcast clouds
308,Missoula,US,47.0166,-113.8009,52.2,51,95,2.06,overcast clouds
309,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,79.05,58,21,3.15,few clouds
310,Rorvik,NO,64.8621,11.2373,44.06,91,100,39.15,overcast clouds
311,Takanosu,JP,40.2219,140.3694,48.42,64,7,8.99,clear sky
312,Villa Alemana,CL,-33.0422,-71.3733,56.93,67,0,6.91,clear sky
313,General Roca,AR,-39.0333,-67.5833,54.63,48,100,7.74,overcast clouds
314,Gold Coast,AU,-28.0,153.4333,73.99,81,52,10.36,broken clouds
315,Murgab,TM,37.4966,61.9714,70.14,48,55,17.6,broken clouds
316,Maniitsoq,GL,65.4167,-52.9,27.23,77,88,9.86,overcast clouds
317,Muros,ES,42.7762,-9.0603,51.98,86,15,5.59,few clouds
318,Alta Floresta,BR,-9.8756,-56.0861,76.32,81,39,2.75,scattered clouds
319,Mmathubudukwane,BW,-24.6,26.4333,66.61,56,74,7.78,broken clouds
320,Denpasar,ID,-8.65,115.2167,80.26,88,20,6.91,few clouds
321,Pasaco,GT,13.9772,-90.2064,85.6,63,100,7.85,overcast clouds
322,Sillod,IN,20.3,75.65,82.35,35,15,10.71,few clouds
323,Great Falls,US,47.5002,-111.3008,53.17,58,100,9.22,overcast clouds
324,Pilar,BR,-9.5972,-35.9567,75.13,87,48,3.11,scattered clouds
325,Sitka,US,57.0531,-135.33,46.29,76,100,18.41,light rain
326,Dunedin,NZ,-45.8742,170.5036,62.8,64,8,4.0,clear sky
327,Tazovskiy,RU,67.4667,78.7,7.12,98,85,6.51,overcast clouds
328,Youghal,IE,51.95,-7.8506,51.1,100,100,4.18,overcast clouds
329,Masterton,NZ,-40.9597,175.6575,62.89,71,100,4.32,light rain
330,Urengoy,RU,65.9667,78.3667,24.93,97,100,3.94,overcast clouds
331,Rio Gallegos,AR,-51.6226,-69.2181,44.22,84,88,6.58,overcast clouds
332,Dukat,RU,62.55,155.55,26.8,89,86,5.97,overcast clouds
333,Koungou,YT,-12.7336,45.2042,80.31,78,20,14.97,few clouds
334,Havoysund,NO,70.9963,24.6622,28.63,78,91,22.88,overcast clouds
335,Cabaiguan,CU,22.0789,-79.4992,78.94,64,49,13.69,scattered clouds
336,Nevers,FR,46.9167,3.3333,47.71,71,79,3.91,broken clouds
337,Gizo,SB,-8.103,156.8419,83.73,71,26,4.41,scattered clouds
338,Puerto Colombia,CO,10.9878,-74.9547,82.71,82,100,6.2,overcast clouds
339,Myrtle Grove,US,30.421,-87.3075,83.05,79,40,12.66,scattered clouds
340,Concarneau,FR,47.875,-3.9225,54.39,88,100,9.69,overcast clouds
341,Pangoa,PE,-12.1167,-73.0,72.57,84,54,1.83,broken clouds
342,Tarkwa,GH,5.3064,-1.9847,76.41,94,75,2.1,broken clouds
343,Walvis Bay,NA,-22.9575,14.5053,64.4,59,0,4.41,clear sky
344,Basay,PH,9.4087,122.64,81.12,78,99,5.37,overcast clouds
